id,created_at,text
529681682929295360,2014-11-04 17:08:48,"b""Folks, there's a lot at stake today. Make time to vote. http://t.co/NuF8byPfsS has everything you need to know. -Joe"""
529397633954353152,2014-11-03 22:20:06,b'RT @TheDemocrats: Everything you need to know here: http://t.co/hYH16bhwiD #IWillVote http://t.co/7KD3kdOkCZ'
529006403680468992,2014-11-02 20:25:29,b'RT @TheDemocrats: Reminder: Decisions are made by those who show up. Make a plan and vote. http://t.co/9hZIhtO2eo'
528942452598902785,2014-11-02 16:11:22,"b""Democrats can't win without your help. Make sure you're ready to vote on Tuesday: http://t.co/NuF8byPfsS http://t.co/E9Cc3n1GhO"""
526024861840601089,2014-10-25 14:57:54,"b""Look who voted yesterday! Commit to join him by voting in this year's election: http://t.co/Xsn4dFdqwu #IWillVote http://t.co/uBHRYzw3Sa"""
523852794495639552,2014-10-19 15:06:53,"b""Catch Vice President Biden and @Mariska during @USA_Network's SVU marathon today. #1is2Many #NotAlone"""
522778136313077760,2014-10-16 15:56:35,b'VP Biden is about to speak about infrastructure development in Philadelphia. This is why we have to #RebuildAmerica: https://t.co/VPP70xIX22'
520617549231583232,2014-10-10 16:51:11,b'#1010means good news for our economy. Commit to vote for candidates who will #RaiseTheWage: http://t.co/2XxEP1GE6u http://t.co/w7x8LqTydh'
518429483733647360,2014-10-04 15:56:35,"b'Big GOTV weekend, folks. Wish I could bring a slice to every one of you knocking on doors and picking up phones! -Joe http://t.co/CKD4rCRSEM'"
518097326725160960,2014-10-03 17:56:43,"b""The Vice President is in Joplin, Missouri today. Here's why: http://t.co/Zb3SzOr9oN"""
515230194651897856,2014-09-25 20:03:45,"b'Happy first week of fall, everyone. #ThrowbackThursday http://t.co/z9ALxCF6DC'"
514459933077929984,2014-09-23 17:03:00,"b'Voting is important, folks. Make sure your registration is up-to-date for 2014 by visiting http://t.co/irUGlySpKT \xe2\x80\x93Joe'"
514104880731271169,2014-09-22 17:32:09,"b""Stopping sexual assault is everyone's responsibility. Visit http://t.co/wymBStCyGB and take the pledge. #ItsOnUs"""
512964382322487296,2014-09-19 14:00:13,"b""VP Biden is about to take the stage at the Women's Leadership Forum Conference. Follow @TheDemocrats for live updates. #DemWomen"""
512754372069974016,2014-09-19 00:05:43,"b'When women like @DWStweets talk about their #breastcancer experience, it gives others hope. Congrats on a well-deserved Komen award. -Joe'"
510848731563192322,2014-09-13 17:53:23,b'RT if you agree with Vice President Biden. #vawa20 http://t.co/JfSorMbouK'
510814968544264192,2014-09-13 15:39:13,"b""VAWA is the single most significant legislation I\xe2\x80\x99ve ever been part of. Couldn't be prouder of everyone who made it happen. -Joe"""
510092980469108736,2014-09-11 15:50:18,b'Today America stands strong and proud. http://t.co/0zMR6J6O8U'
509767614084956160,2014-09-10 18:17:24,b'There are 55 days left before Election Day. Commit to vote right now \xe2\x86\x92 http://t.co/SVMedG8i7O #IWillVote http://t.co/UYVjqR7Xrc'
509016433851121665,2014-09-08 16:32:29,"b""Read the VP's op-ed on his proudest legislative accomplishment: The Violence Against Women Act. http://t.co/N8etPFeQw6"""
508321750485323776,2014-09-06 18:32:04,"b'""Folks, it\xe2\x80\x99s never a good bet to bet against the American people."" - Vice President Biden. WATCH: http://t.co/svGEHibKry #OpportunityForAll'"
